Loss,Accuracy
47.02882346883416,95.3587497040019
42.73865494132042,95.57186834004263
36.90948710590601,95.99415897071592
34.63017883524299,96.22701081379746
33.43337180837989,96.37303654589944
29.99388973042369,96.82690030783803
31.034250784665346,96.61772831320546
28.639547313563526,96.94529955008288
28.447315990924835,96.84268687347068
30.345657255500555,96.6848212171442
29.603870295919478,96.80716710079722
31.216873577795923,96.59799510616466
28.725529490970075,96.91767306022575
18.285444187931716,98.20822480069461
16.95636191405356,98.35425053279658
16.32184261805378,98.42134343673534
15.662855065893382,98.51211618912306
15.4313970413059,98.53974267898019
15.570575925987214,98.5279027547557
15.575485576875508,98.48448969926592
15.470595493447036,98.54368932038835
15.436065307352692,98.50422290630674
14.908814653521404,98.58315573446997
14.819632911356166,98.5910490172863
14.770784078980796,98.58315573446997
14.736473927274346,98.5989423001026
14.66614237963222,98.58710237587813
14.62476867553778,98.59499565869446
14.622322602546774,98.5910490172863
14.586422500899062,98.63051543136791
14.617107148747891,98.62262214855159
