Loss,Accuracy
48.915924958884716,94.0089983424106
61.83599702268839,92.56452758702345
43.34788377210498,94.79437998263478
44.297699958086014,94.750966927145
35.6933435164392,95.79682690030783
40.388487726449966,95.14563106796116
39.18202958628535,95.60738811271608
31.191234674304724,96.40066303575657
43.14052591845393,94.97987212881837
29.887435525655746,96.38092982871576
28.093557190150023,96.47170258110349
31.542654182761908,96.31383692477702
30.078577015548944,96.44802273265451
28.255517426878214,96.74402083826664
32.01410217769444,96.16781119267503
11.09835929167457,98.69366169389849
10.285049170954153,98.80022101191885
9.76459177187644,98.85152735022496
9.367822213680483,99.00544636514326
8.448926738812588,99.02517957218407
8.182400341145694,99.08043255189834
7.835743272851687,99.14357881442892
7.802766370266909,99.12384560738812
7.670980409369804,99.12779224879627
7.937466245319229,99.10805904175547
7.317179724399466,99.17909858710237
7.738462302600965,99.15147209724525
6.89564038196113,99.21461835977583
7.22171832586173,99.16331202146974
7.356248414580477,99.1159523245718
