Loss,Accuracy
30.369898665696383,96.62167495461362
26.853853918612003,97.02817901965427
24.01705815643072,97.30444391822559
21.796959664672613,97.57676217538875
25.856828963384032,97.19393795879706
22.477240161970258,97.58860209961323
23.622929494827986,97.17815139316441
19.48433501739055,97.7662009629805
23.086875753477216,97.35180361512353
21.742603295482695,97.53729576130712
21.612167166545987,97.60438866524588
25.878315121866763,96.97292603994
12.372754812939093,98.63840871418422
10.633791934233159,98.82390086036783
10.22010387503542,98.85942063304128
9.725005481624976,98.93835346120451
9.619596542674117,98.94230010261268
9.459536658949219,99.00939300655142
8.962602534797043,99.05675270344936
9.160062757087871,99.0528060620412
8.99596592981834,99.03701949640856
8.718616639031097,99.08437919330649
8.863164656213485,99.05675270344936
8.45579748385353,99.08437919330649
8.387579528498463,99.12384560738812
