Loss,Accuracy
51.28839611634612,93.5156681663904
58.551202803850174,92.89999210671718
51.47172876447439,94.24185018549214
59.09136725217104,92.82895256137027
52.903503857553005,93.68537374694135
10.422676801215857,98.83574078459232
8.954690409824252,99.02517957218407
8.149509720038623,99.17120530428605
7.760490147862583,99.1869918699187
6.7217669050442055,99.30144447075538
6.630241411738098,99.29355118793906
6.072322181193158,99.41589707159207
6.1363036604598165,99.340910884837
6.2637553663225845,99.35275080906149
5.733798358705826,99.38432394032678
6.003303333418444,99.33301760202067
