Loss,Accuracy
26.134557973593473,96.94529955008288
24.535978505387902,97.04001894387876
24.97918727621436,97.0873786407767
23.985680426470935,96.94529955008288
21.366659577935934,97.41494987765411
19.263689070940018,97.67937485200095
17.398648025467992,98.02273265451102
21.1575386216864,97.45046965032758
18.34525546245277,97.7662009629805
20.82915356568992,97.55702896834794
15.797417745925486,98.12139868971505
17.224879201501608,97.89644012944984
17.23226056341082,98.05825242718447
16.026220006868243,98.14902517957218
16.416246610693634,98.01878601310285
8.23451751889661,99.0528060620412
7.3040311496006325,99.16725866287788
7.155034085386433,99.19093851132686
6.505503561696969,99.2382982082248
6.743272302555852,99.20277843555135
