Loss,Accuracy
474.34270918369293,50.30389138842845
361.6435790657997,61.003236245954696
302.96555799245834,66.96661141368695
266.3584128022194,70.68040097876707
230.3210151195526,74.30341779145947
210.6745274066925,76.3793511721525
193.0327362716198,78.52237745678427
176.05413249135017,80.1049806614571
165.99714332818985,81.37974583629331
153.7157106101513,82.89130949561923
144.10219730436802,83.94900939300655
131.84962157905102,85.3855868655774
124.74044442176819,86.27358118241376
117.47935366630554,86.93661693898493
111.07974828779697,87.7219985792091
103.85128559172153,88.5350067092904
100.36666525900364,89.01255031967796
96.83112734556198,89.44273423316757
91.16723760962486,90.22416923198358
85.26254358887672,90.87141842292209
81.91601087152958,91.33712210908517
79.23161545395851,91.72783960849317
80.03648442029953,91.79493251243193
78.20195411145687,92.04751756255426
74.61794596910477,92.46980819322756
74.16635171324015,92.5487410213908
73.62613861262798,92.72633988475808
72.06474485248327,92.76580629883969
68.99738197401166,93.15257715683953
69.09931594878435,93.33412266161497
67.18899058923125,93.48804167653327
64.78751771897078,94.02478490804326
69.89657690376043,93.52356144920672
65.75044648721814,93.96163864551266
65.15301406756043,93.93401215565554
65.70435712859035,94.16686399873707
52.96191207319498,95.50477543610387
51.86682169698179,95.66264109243035
51.965106166899204,95.62317467834872
51.186422820203006,95.65474780961402
51.66908625047654,95.73762727918542
51.27092325873673,95.75341384481806
51.43682455457747,95.72973399636909
51.68686352670193,95.65869445102219
51.28017991874367,95.72184071355277
51.105249711312354,95.75341384481806
50.98585867602378,95.7810403346752
50.9086604192853,95.72578735496093
50.92781714256853,95.81261346594049
50.72182679735124,95.79682690030783
50.82578702364117,95.76525376904254
50.6034923736006,95.78498697608336
50.51932945009321,95.77709369326703
50.677750036120415,95.79288025889967
50.606421942822635,95.80866682453232
50.456864948384464,95.800773541716
50.48968037776649,95.80472018312416
50.48654292244464,95.79682690030783
